,dealer_up_card,dealer_up_card_value,dealer_final_hand_value,dealer_busted,dealer_blackjack,dealer_final_hand,player_hand,player_hand_value,player_busted,player_blackjack,player_won,player_stack
23,AC,1,20,False,False,"[<Card.Card object at 0x000001E822064580>, <Card.Card object at 0x000001E82201B130>, <Card.Card object at 0x000001E82201F490>]","[<Card.Card object at 0x000001E822026A30>, <Card.Card object at 0x000001E82201BD60>, <Card.Card object at 0x000001E822022760>]",20,False,False,0,
24,7D,7,18,False,False,"[<Card.Card object at 0x000001E82205E730>, <Card.Card object at 0x000001E822064370>]","[<Card.Card object at 0x000001E82201FCA0>, <Card.Card object at 0x000001E82201BD00>]",20,False,False,1,
25,4C,4,20,False,False,"[<Card.Card object at 0x000001E822064D30>, <Card.Card object at 0x000001E822064640>, <Card.Card object at 0x000001E82201BF40>]","[<Card.Card object at 0x000001E82201D8E0>, <Card.Card object at 0x000001E82201DEE0>, <Card.Card object at 0x000001E82201BFA0>]",19,False,False,0,
26,5H,5,19,False,False,"[<Card.Card object at 0x000001E822064B20>, <Card.Card object at 0x000001E82205EEB0>, <Card.Card object at 0x000001E822064190>]","[<Card.Card object at 0x000001E8220648E0>, <Card.Card object at 0x000001E80FE22B80>, <Card.Card object at 0x000001E822024FA0>]",19,False,False,0,
27,4D,4,22,True,False,"[<Card.Card object at 0x000001E822013EE0>, <Card.Card object at 0x000001E82200CBB0>, <Card.Card object at 0x000001E822074EE0>, <Card.Card object at 0x000001E822064520>]","[<Card.Card object at 0x000001E822022CD0>, <Card.Card object at 0x000001E8220137C0>, <Card.Card object at 0x000001E822022A60>]",19,False,False,0,
28,2C,2,17,False,False,"[<Card.Card object at 0x000001E8220221F0>, <Card.Card object at 0x000001E822026B80>, <Card.Card object at 0x000001E822024910>, <Card.Card object at 0x000001E822064550>]","[<Card.Card object at 0x000001E82201B550>, <Card.Card object at 0x000001E822074A30>]",19,False,False,1,
29,KS,10,21,False,False,"[<Card.Card object at 0x000001E822026EB0>, <Card.Card object at 0x000001E822074610>, <Card.Card object at 0x000001E82201F400>, <Card.Card object at 0x000001E822024AC0>]","[<Card.Card object at 0x000001E822026F70>, <Card.Card object at 0x000001E822022C10>]",12,False,False,0,
30,3C,3,23,True,False,"[<Card.Card object at 0x000001E82201B730>, <Card.Card object at 0x000001E82201B700>, <Card.Card object at 0x000001E822013190>]","[<Card.Card object at 0x000001E8220773A0>, <Card.Card object at 0x000001E82201DB80>, <Card.Card object at 0x000001E822013D90>]",14,False,False,0,
31,9H,9,18,False,False,"[<Card.Card object at 0x000001E82201F610>, <Card.Card object at 0x000001E822064A60>]","[<Card.Card object at 0x000001E822077340>, <Card.Card object at 0x000001E8220269A0>]",18,False,False,0,
32,9S,9,19,False,False,"[<Card.Card object at 0x000001E8220263A0>, <Card.Card object at 0x000001E82201F2E0>, <Card.Card object at 0x000001E82201D550>]","[<Card.Card object at 0x000001E822064160>, <Card.Card object at 0x000001E822064F70>]",17,False,False,0,
33,4C,4,19,False,False,"[<Card.Card object at 0x000001E822074670>, <Card.Card object at 0x000001E82201D160>, <Card.Card object at 0x000001E82201B250>]","[<Card.Card object at 0x000001E821E1F1C0>, <Card.Card object at 0x000001E82200CD90>]",12,False,False,0,
34,2H,2,18,False,False,"[<Card.Card object at 0x000001E822013160>, <Card.Card object at 0x000001E822074CA0>, <Card.Card object at 0x000001E8220779D0>]","[<Card.Card object at 0x000001E82201F1F0>, <Card.Card object at 0x000001E822024A30>, <Card.Card object at 0x000001E822024AF0>]",19,False,False,1,
35,AD,1,21,False,True,"[<Card.Card object at 0x000001E822022DF0>, <Card.Card object at 0x000001E82201DAC0>]","[<Card.Card object at 0x000001E822074DF0>, <Card.Card object at 0x000001E82201D8B0>]",21,False,True,0,
36,3H,3,18,False,False,"[<Card.Card object at 0x000001E8220248B0>, <Card.Card object at 0x000001E822013610>, <Card.Card object at 0x000001E82201D5E0>]","[<Card.Card object at 0x000001E822022B50>, <Card.Card object at 0x000001E822077520>]",16,False,False,0,
37,TH,10,17,False,False,"[<Card.Card object at 0x000001E822013130>, <Card.Card object at 0x000001E82201FFA0>, <Card.Card object at 0x000001E822003970>]","[<Card.Card object at 0x000001E82200CF40>, <Card.Card object at 0x000001E822074220>, <Card.Card object at 0x000001E82205ECD0>]",19,False,False,1,
38,AH,1,21,False,True,"[<Card.Card object at 0x000001E82201F4C0>, <Card.Card object at 0x000001E82201B160>]","[<Card.Card object at 0x000001E822077CA0>, <Card.Card object at 0x000001E82201D880>]",20,False,False,0,
39,JC,10,20,False,False,"[<Card.Card object at 0x000001E82207DEB0>, <Card.Card object at 0x000001E822074F70>, <Card.Card object at 0x000001E822026310>]","[<Card.Card object at 0x000001E822077DF0>, <Card.Card object at 0x000001E822024F70>]",13,False,False,0,
40,AH,1,18,False,False,"[<Card.Card object at 0x000001E82201F070>, <Card.Card object at 0x000001E822026190>, <Card.Card object at 0x000001E8220641C0>, <Card.Card object at 0x000001E8220246A0>]","[<Card.Card object at 0x000001E82207DA90>, <Card.Card object at 0x000001E82207D8B0>, <Card.Card object at 0x000001E822024B20>, <Card.Card object at 0x000001E82201DC10>]",18,False,False,0,
41,8C,8,22,True,False,"[<Card.Card object at 0x000001E822022640>, <Card.Card object at 0x000001E822064040>, <Card.Card object at 0x000001E82205E640>]","[<Card.Card object at 0x000001E822064910>, <Card.Card object at 0x000001E8220137F0>]",17,False,False,0,
42,JD,10,20,False,False,"[<Card.Card object at 0x000001E822022BE0>, <Card.Card object at 0x000001E82207D640>]","[<Card.Card object at 0x000001E822013940>, <Card.Card object at 0x000001E8220247F0>]",12,False,False,0,
43,KC,10,17,False,False,"[<Card.Card object at 0x000001E822022D90>, <Card.Card object at 0x000001E822013FA0>]","[<Card.Card object at 0x000001E82201B340>, <Card.Card object at 0x000001E822077190>]",17,False,False,0,
