,dealer_up_card,dealer_up_card_value,dealer_final_hand_value,dealer_busted,dealer_blackjack,dealer_final_hand,player_hand,player_hand_value,player_busted,player_blackjack,player_won,player_stack
227,6C,6,26,True,False,"[<Card.Card object at 0x000001E82208C700>, <Card.Card object at 0x000001E8220D29A0>, <Card.Card object at 0x000001E8220B1670>]","[<Card.Card object at 0x000001E8220CA640>, <Card.Card object at 0x000001E8220D4310>]",15,False,False,0,
228,KC,10,24,True,False,"[<Card.Card object at 0x000001E8220CB6D0>, <Card.Card object at 0x000001E8220D2E80>, <Card.Card object at 0x000001E8220B5EE0>]","[<Card.Card object at 0x000001E8220B1940>, <Card.Card object at 0x000001E8220D44F0>, <Card.Card object at 0x000001E8220BA1F0>]",17,False,False,0,
229,7S,7,25,True,False,"[<Card.Card object at 0x000001E8220D4AF0>, <Card.Card object at 0x000001E8220DD070>, <Card.Card object at 0x000001E8220A8760>]","[<Card.Card object at 0x000001E8220D6940>, <Card.Card object at 0x000001E8220D6C70>]",17,False,False,0,
230,2H,2,18,False,False,"[<Card.Card object at 0x000001E8220C0CA0>, <Card.Card object at 0x000001E8220D6490>, <Card.Card object at 0x000001E822022820>]","[<Card.Card object at 0x000001E8220CB880>, <Card.Card object at 0x000001E8220D4610>]",17,False,False,0,
231,KD,10,20,False,False,"[<Card.Card object at 0x000001E822082220>, <Card.Card object at 0x000001E8220C76D0>]","[<Card.Card object at 0x000001E8220908E0>, <Card.Card object at 0x000001E8220C61F0>, <Card.Card object at 0x000001E8220CAFD0>]",13,False,False,0,
232,2H,2,21,False,False,"[<Card.Card object at 0x000001E822092A30>, <Card.Card object at 0x000001E8220CA610>, <Card.Card object at 0x000001E8220CA8B0>, <Card.Card object at 0x000001E82207D070>]","[<Card.Card object at 0x000001E8220C0E20>, <Card.Card object at 0x000001E8220AD070>]",15,False,False,0,
233,9C,9,22,True,False,"[<Card.Card object at 0x000001E8220C6040>, <Card.Card object at 0x000001E8220C0A90>, <Card.Card object at 0x000001E8220B5E50>]","[<Card.Card object at 0x000001E8220DDA90>, <Card.Card object at 0x000001E8220C6400>]",19,False,False,0,
234,AS,1,21,False,True,"[<Card.Card object at 0x000001E8220C0910>, <Card.Card object at 0x000001E8220CADC0>]","[<Card.Card object at 0x000001E8220D2FA0>, <Card.Card object at 0x000001E8220DD790>]",17,False,False,0,
235,2D,2,19,False,False,"[<Card.Card object at 0x000001E8220C6AF0>, <Card.Card object at 0x000001E8220B5550>, <Card.Card object at 0x000001E8220D4550>]","[<Card.Card object at 0x000001E8220DDA30>, <Card.Card object at 0x000001E8220D66A0>]",21,False,True,1,
236,TS,10,20,False,False,"[<Card.Card object at 0x000001E8220A8250>, <Card.Card object at 0x000001E8220B3DC0>]","[<Card.Card object at 0x000001E8220A2B50>, <Card.Card object at 0x000001E8220DD700>]",16,False,False,0,
237,AC,1,20,False,False,"[<Card.Card object at 0x000001E8220DD850>, <Card.Card object at 0x000001E8220CACD0>]","[<Card.Card object at 0x000001E8220DD760>, <Card.Card object at 0x000001E8220D6460>]",17,False,False,0,
238,AS,1,25,True,False,"[<Card.Card object at 0x000001E8220BA2B0>, <Card.Card object at 0x000001E8220DD670>, <Card.Card object at 0x000001E8220A8220>, <Card.Card object at 0x000001E8220D4A30>]","[<Card.Card object at 0x000001E8220CA250>, <Card.Card object at 0x000001E8220CA4C0>]",15,False,False,0,
239,8D,8,18,False,False,"[<Card.Card object at 0x000001E8220D4B50>, <Card.Card object at 0x000001E8220DDBE0>]","[<Card.Card object at 0x000001E8220D4E50>, <Card.Card object at 0x000001E8220D2C40>]",15,False,False,0,
240,3D,3,17,False,False,"[<Card.Card object at 0x000001E8220C26D0>, <Card.Card object at 0x000001E8220B5F40>, <Card.Card object at 0x000001E8220CBCD0>]","[<Card.Card object at 0x000001E8220DD640>, <Card.Card object at 0x000001E8220B3580>]",19,False,False,1,
241,AC,1,17,False,False,"[<Card.Card object at 0x000001E8220C6580>, <Card.Card object at 0x000001E8220BD7C0>]","[<Card.Card object at 0x000001E8220B5AF0>, <Card.Card object at 0x000001E8220907F0>]",12,False,False,0,
242,9S,9,19,False,False,"[<Card.Card object at 0x000001E822074700>, <Card.Card object at 0x000001E8220D4B20>]","[<Card.Card object at 0x000001E8220D2F70>, <Card.Card object at 0x000001E8220C0610>]",18,False,False,0,
243,JC,10,25,True,False,"[<Card.Card object at 0x000001E8220C7280>, <Card.Card object at 0x000001E8220A2400>, <Card.Card object at 0x000001E8220D41C0>]","[<Card.Card object at 0x000001E8220C6F10>, <Card.Card object at 0x000001E8220D4730>]",14,False,False,0,
244,JH,10,22,True,False,"[<Card.Card object at 0x000001E82201F7C0>, <Card.Card object at 0x000001E8220D6B50>, <Card.Card object at 0x000001E8220C7370>]","[<Card.Card object at 0x000001E8220D98B0>, <Card.Card object at 0x000001E8220D4B80>]",15,False,False,0,
245,QD,10,18,False,False,"[<Card.Card object at 0x000001E8220D6430>, <Card.Card object at 0x000001E8220C0FA0>, <Card.Card object at 0x000001E8220D9610>]","[<Card.Card object at 0x000001E8220BD490>, <Card.Card object at 0x000001E8220D9BE0>]",15,False,False,0,
246,3S,3,19,False,False,"[<Card.Card object at 0x000001E8220D6CD0>, <Card.Card object at 0x000001E8220D90D0>, <Card.Card object at 0x000001E8220D6220>, <Card.Card object at 0x000001E8220CABB0>, <Card.Card object at 0x000001E8220DDBB0>]","[<Card.Card object at 0x000001E8220D2B50>, <Card.Card object at 0x000001E8220D6E80>, <Card.Card object at 0x000001E8220D45E0>]",18,False,False,0,
247,5H,5,22,True,False,"[<Card.Card object at 0x000001E8220D9490>, <Card.Card object at 0x000001E8220E0070>, <Card.Card object at 0x000001E8220C7F40>, <Card.Card object at 0x000001E8220CBE20>]","[<Card.Card object at 0x000001E8220CA7C0>, <Card.Card object at 0x000001E8220CA220>]",18,False,False,0,
248,3C,3,23,True,False,"[<Card.Card object at 0x000001E8220E0430>, <Card.Card object at 0x000001E8220D9940>, <Card.Card object at 0x000001E8220D9D30>]","[<Card.Card object at 0x000001E8220CBFA0>, <Card.Card object at 0x000001E8220D48B0>]",16,False,False,0,
249,TH,10,22,True,False,"[<Card.Card object at 0x000001E8220AD370>, <Card.Card object at 0x000001E8220D4790>, <Card.Card object at 0x000001E8220D9760>]","[<Card.Card object at 0x000001E8220ADCA0>, <Card.Card object at 0x000001E8220A2EE0>]",19,False,False,0,
250,AD,1,23,True,False,"[<Card.Card object at 0x000001E8220C2A30>, <Card.Card object at 0x000001E8220CB370>, <Card.Card object at 0x000001E8220DD280>, <Card.Card object at 0x000001E8220DDF40>]","[<Card.Card object at 0x000001E8220D9820>, <Card.Card object at 0x000001E8220B1820>]",20,False,False,0,
251,8D,8,20,False,False,"[<Card.Card object at 0x000001E8220CA040>, <Card.Card object at 0x000001E8220D9C10>, <Card.Card object at 0x000001E8220D4C40>]","[<Card.Card object at 0x000001E8220D6C40>, <Card.Card object at 0x000001E8220E0A30>]",13,False,False,0,
252,KC,10,20,False,False,"[<Card.Card object at 0x000001E8220C70A0>, <Card.Card object at 0x000001E8220CA850>]","[<Card.Card object at 0x000001E8220D6C10>, <Card.Card object at 0x000001E8220D9A00>]",21,False,True,1,
253,5H,5,25,True,False,"[<Card.Card object at 0x000001E8220CB5E0>, <Card.Card object at 0x000001E8220C2070>, <Card.Card object at 0x000001E8220DD6A0>, <Card.Card object at 0x000001E8220E0400>]","[<Card.Card object at 0x000001E8220D90A0>, <Card.Card object at 0x000001E8220BDB50>]",16,False,False,0,
254,KC,10,17,False,False,"[<Card.Card object at 0x000001E8220CA430>, <Card.Card object at 0x000001E8220D91F0>, <Card.Card object at 0x000001E8220C7D00>]","[<Card.Card object at 0x000001E8220D2460>, <Card.Card object at 0x000001E8220CA4F0>]",20,False,False,1,
255,3D,3,23,True,False,"[<Card.Card object at 0x000001E8220D9D60>, <Card.Card object at 0x000001E8220DDFD0>, <Card.Card object at 0x000001E8220CB310>, <Card.Card object at 0x000001E8220D4E80>, <Card.Card object at 0x000001E8220CB400>]","[<Card.Card object at 0x000001E8220D9040>, <Card.Card object at 0x000001E8220D4EE0>]",15,False,False,0,
256,7D,7,25,True,False,"[<Card.Card object at 0x000001E8220C2490>, <Card.Card object at 0x000001E8220DD040>, <Card.Card object at 0x000001E8220E0BB0>]","[<Card.Card object at 0x000001E8220D6CA0>, <Card.Card object at 0x000001E822064340>]",19,False,False,0,
257,9D,9,19,False,False,"[<Card.Card object at 0x000001E8220D2520>, <Card.Card object at 0x000001E8220C27C0>]","[<Card.Card object at 0x000001E8220E0E50>, <Card.Card object at 0x000001E8220AD5E0>]",14,False,False,0,
258,KH,10,21,False,False,"[<Card.Card object at 0x000001E8220D2100>, <Card.Card object at 0x000001E8220C6C10>, <Card.Card object at 0x000001E8220B3940>]","[<Card.Card object at 0x000001E8220878B0>, <Card.Card object at 0x000001E8220B5940>]",18,False,False,0,
259,5H,5,23,True,False,"[<Card.Card object at 0x000001E8220C7CA0>, <Card.Card object at 0x000001E8220D47F0>, <Card.Card object at 0x000001E8220E09A0>]","[<Card.Card object at 0x000001E8220BDA00>, <Card.Card object at 0x000001E8220D9D90>, <Card.Card object at 0x000001E8220DDE80>]",14,False,False,0,
260,6H,6,17,False,False,"[<Card.Card object at 0x000001E8220C7880>, <Card.Card object at 0x000001E8220D9160>]","[<Card.Card object at 0x000001E8220C7BB0>, <Card.Card object at 0x000001E8220A8E50>]",14,False,False,0,
261,7S,7,18,False,False,"[<Card.Card object at 0x000001E8220E03D0>, <Card.Card object at 0x000001E8220E6A30>]","[<Card.Card object at 0x000001E8220D4910>, <Card.Card object at 0x000001E8220B1460>]",15,False,False,0,
262,3S,3,23,True,False,"[<Card.Card object at 0x000001E8220C6BE0>, <Card.Card object at 0x000001E8220E62E0>, <Card.Card object at 0x000001E8220E0EE0>]","[<Card.Card object at 0x000001E8220E6B50>, <Card.Card object at 0x000001E8220D25E0>, <Card.Card object at 0x000001E8220B5730>]",18,False,False,0,
263,3S,3,20,False,False,"[<Card.Card object at 0x000001E8220C6070>, <Card.Card object at 0x000001E8220D61C0>, <Card.Card object at 0x000001E8220CA760>]","[<Card.Card object at 0x000001E8220CBC70>, <Card.Card object at 0x000001E8220A80D0>]",18,False,False,0,
264,4H,4,19,False,False,"[<Card.Card object at 0x000001E8220DD2E0>, <Card.Card object at 0x000001E8220C6370>, <Card.Card object at 0x000001E8220772E0>]","[<Card.Card object at 0x000001E8220D63A0>, <Card.Card object at 0x000001E8220D63D0>]",18,False,False,0,
265,TD,10,20,False,False,"[<Card.Card object at 0x000001E8220BD040>, <Card.Card object at 0x000001E8220D97F0>]","[<Card.Card object at 0x000001E8220D9580>, <Card.Card object at 0x000001E8220C2E50>]",12,False,False,0,
266,5S,5,19,False,False,"[<Card.Card object at 0x000001E822077EE0>, <Card.Card object at 0x000001E82208C670>, <Card.Card object at 0x000001E8220E0490>]","[<Card.Card object at 0x000001E8220E03A0>, <Card.Card object at 0x000001E8220D95E0>]",17,False,False,0,
267,KD,10,21,False,True,"[<Card.Card object at 0x000001E80FAF3BE0>, <Card.Card object at 0x000001E8220D6160>]","[<Card.Card object at 0x000001E8220E6A90>, <Card.Card object at 0x000001E8220B5FD0>]",17,False,False,0,
268,KC,10,19,False,False,"[<Card.Card object at 0x000001E8220DD0D0>, <Card.Card object at 0x000001E8220E66A0>]","[<Card.Card object at 0x000001E8220E0610>, <Card.Card object at 0x000001E8220CB7F0>, <Card.Card object at 0x000001E8220E0FD0>]",16,False,False,0,
269,AH,1,19,False,False,"[<Card.Card object at 0x000001E8220D62B0>, <Card.Card object at 0x000001E8220C2700>]","[<Card.Card object at 0x000001E8220E6220>, <Card.Card object at 0x000001E8220CB8E0>, <Card.Card object at 0x000001E8220D20D0>]",12,False,False,0,
270,4S,4,20,False,False,"[<Card.Card object at 0x000001E8220DD8E0>, <Card.Card object at 0x000001E82206FCA0>, <Card.Card object at 0x000001E8220C2970>]","[<Card.Card object at 0x000001E8220DDC40>, <Card.Card object at 0x000001E8220D9C40>]",13,False,False,0,
271,4S,4,19,False,False,"[<Card.Card object at 0x000001E8220C7EB0>, <Card.Card object at 0x000001E8220D6A30>, <Card.Card object at 0x000001E8220BDD90>, <Card.Card object at 0x000001E82206F100>]","[<Card.Card object at 0x000001E8220D48E0>, <Card.Card object at 0x000001E8220D98E0>]",16,False,False,0,
272,AS,1,19,False,False,"[<Card.Card object at 0x000001E8220E6760>, <Card.Card object at 0x000001E8220CBB50>]","[<Card.Card object at 0x000001E8220E04F0>, <Card.Card object at 0x000001E8220E6EB0>]",12,False,False,0,
273,8C,8,25,True,False,"[<Card.Card object at 0x000001E8220C29D0>, <Card.Card object at 0x000001E8220C72B0>, <Card.Card object at 0x000001E8220D9970>]","[<Card.Card object at 0x000001E8220D6D90>, <Card.Card object at 0x000001E8220E0B20>]",20,False,False,0,
274,8C,8,18,False,False,"[<Card.Card object at 0x000001E8220DDEE0>, <Card.Card object at 0x000001E8220E6F70>]","[<Card.Card object at 0x000001E8220E0DC0>, <Card.Card object at 0x000001E8220DD550>]",14,False,False,0,
275,4S,4,17,False,False,"[<Card.Card object at 0x000001E8220A2850>, <Card.Card object at 0x000001E8220D22B0>, <Card.Card object at 0x000001E8220C29A0>]","[<Card.Card object at 0x000001E8220E7040>, <Card.Card object at 0x000001E8220E6EE0>]",20,False,False,1,
276,7H,7,24,True,False,"[<Card.Card object at 0x000001E8220D2970>, <Card.Card object at 0x000001E8220E7970>, <Card.Card object at 0x000001E8220E7CD0>]","[<Card.Card object at 0x000001E8220A2C70>, <Card.Card object at 0x000001E8220E04C0>]",15,False,False,0,
277,6D,6,17,False,False,"[<Card.Card object at 0x000001E8220E05B0>, <Card.Card object at 0x000001E8220A8AF0>, <Card.Card object at 0x000001E82206F700>]","[<Card.Card object at 0x000001E8220BDF70>, <Card.Card object at 0x000001E8220CBD90>]",18,False,False,1,
278,TC,10,21,False,False,"[<Card.Card object at 0x000001E8220D9AC0>, <Card.Card object at 0x000001E8220B56D0>, <Card.Card object at 0x000001E8220D9670>, <Card.Card object at 0x000001E8220E6D60>]","[<Card.Card object at 0x000001E8220D66D0>, <Card.Card object at 0x000001E8220A8A00>]",17,False,False,0,
279,2D,2,17,False,False,"[<Card.Card object at 0x000001E8220E7400>, <Card.Card object at 0x000001E82206FD30>, <Card.Card object at 0x000001E8220D6730>]","[<Card.Card object at 0x000001E8220A84F0>, <Card.Card object at 0x000001E8220E06A0>]",21,False,True,1,
280,3C,3,18,False,False,"[<Card.Card object at 0x000001E8220B5970>, <Card.Card object at 0x000001E8220E7D90>, <Card.Card object at 0x000001E8220B1970>]","[<Card.Card object at 0x000001E82206F130>, <Card.Card object at 0x000001E80FAF3DC0>]",20,False,False,1,
281,5D,5,18,False,False,"[<Card.Card object at 0x000001E8220E7130>, <Card.Card object at 0x000001E8220DD460>, <Card.Card object at 0x000001E8220C6910>]","[<Card.Card object at 0x000001E82206F820>, <Card.Card object at 0x000001E8220B3D00>, <Card.Card object at 0x000001E8220E01C0>]",13,False,False,0,
282,7C,7,24,True,False,"[<Card.Card object at 0x000001E8220CA970>, <Card.Card object at 0x000001E8220D2550>, <Card.Card object at 0x000001E8220E75B0>, <Card.Card object at 0x000001E80FAB8160>]","[<Card.Card object at 0x000001E8220E7EE0>, <Card.Card object at 0x000001E822098670>]",14,False,False,0,
283,QS,10,22,True,False,"[<Card.Card object at 0x000001E82206F2E0>, <Card.Card object at 0x000001E8220C7E50>, <Card.Card object at 0x000001E8220E6190>, <Card.Card object at 0x000001E8220E0280>]","[<Card.Card object at 0x000001E82206FA90>, <Card.Card object at 0x000001E8220D6D30>]",15,False,False,0,
284,AD,1,20,False,False,"[<Card.Card object at 0x000001E8220DDE20>, <Card.Card object at 0x000001E8220CACA0>]","[<Card.Card object at 0x000001E8220E0E20>, <Card.Card object at 0x000001E82208CFD0>]",16,False,False,0,
285,TH,10,24,True,False,"[<Card.Card object at 0x000001E821E1F0D0>, <Card.Card object at 0x000001E8220CA5E0>, <Card.Card object at 0x000001E8220DD160>]","[<Card.Card object at 0x000001E8220E9040>, <Card.Card object at 0x000001E8220E09D0>, <Card.Card object at 0x000001E8220E6DF0>]",16,False,False,0,
286,9S,9,19,False,False,"[<Card.Card object at 0x000001E82206F5B0>, <Card.Card object at 0x000001E8220D65E0>]","[<Card.Card object at 0x000001E82206F490>, <Card.Card object at 0x000001E8220D9E80>, <Card.Card object at 0x000001E82200C7C0>]",20,False,False,1,
287,6D,6,21,False,False,"[<Card.Card object at 0x000001E8220E71F0>, <Card.Card object at 0x000001E8220E6400>, <Card.Card object at 0x000001E8220E9F40>]","[<Card.Card object at 0x000001E8220C0940>, <Card.Card object at 0x000001E8220B3610>]",13,False,False,0,
288,3D,3,21,False,False,"[<Card.Card object at 0x000001E8220E9FD0>, <Card.Card object at 0x000001E8220DD8B0>, <Card.Card object at 0x000001E8220E0940>, <Card.Card object at 0x000001E82206F640>]","[<Card.Card object at 0x000001E82206F610>, <Card.Card object at 0x000001E8220B5B80>, <Card.Card object at 0x000001E8220E9460>]",19,False,False,0,
289,6C,6,22,True,False,"[<Card.Card object at 0x000001E8220E0AF0>, <Card.Card object at 0x000001E8220E7E50>, <Card.Card object at 0x000001E8220E7F10>]","[<Card.Card object at 0x000001E8220E0F10>, <Card.Card object at 0x000001E8220C64C0>]",21,False,True,1,
290,8H,8,25,True,False,"[<Card.Card object at 0x000001E8220C6610>, <Card.Card object at 0x000001E8220CBC40>, <Card.Card object at 0x000001E8220E64C0>]","[<Card.Card object at 0x000001E8220C2A90>, <Card.Card object at 0x000001E8220E0520>]",14,False,False,0,
291,JH,10,19,False,False,"[<Card.Card object at 0x000001E8220E9B50>, <Card.Card object at 0x000001E8220EA5B0>]","[<Card.Card object at 0x000001E8220E9DC0>, <Card.Card object at 0x000001E8220E0AC0>]",20,False,False,1,
292,9S,9,20,False,False,"[<Card.Card object at 0x000001E8220E74C0>, <Card.Card object at 0x000001E8220EA250>]","[<Card.Card object at 0x000001E8220B5D00>, <Card.Card object at 0x000001E8220E0D60>, <Card.Card object at 0x000001E8220E98B0>]",14,False,False,0,
293,JC,10,18,False,False,"[<Card.Card object at 0x000001E8220E7670>, <Card.Card object at 0x000001E8220E73D0>, <Card.Card object at 0x000001E8220CBDC0>]","[<Card.Card object at 0x000001E8220B1A30>, <Card.Card object at 0x000001E82206F0A0>, <Card.Card object at 0x000001E8220E6FA0>]",14,False,False,0,
294,4S,4,19,False,False,"[<Card.Card object at 0x000001E82200C760>, <Card.Card object at 0x000001E8220EA910>, <Card.Card object at 0x000001E8220D6700>, <Card.Card object at 0x000001E8220DD100>, <Card.Card object at 0x000001E8220E9BB0>]","[<Card.Card object at 0x000001E8220D2B80>, <Card.Card object at 0x000001E8220821F0>]",21,False,True,1,
295,8C,8,17,False,False,"[<Card.Card object at 0x000001E8220C76A0>, <Card.Card object at 0x000001E8220DDC10>, <Card.Card object at 0x000001E8220E9070>, <Card.Card object at 0x000001E8220EA220>]","[<Card.Card object at 0x000001E8220B3D90>, <Card.Card object at 0x000001E8220EAD30>, <Card.Card object at 0x000001E8220EA730>]",12,False,False,0,
296,AS,1,21,False,False,"[<Card.Card object at 0x000001E8220DD130>, <Card.Card object at 0x000001E8220D29D0>, <Card.Card object at 0x000001E82206F1F0>, <Card.Card object at 0x000001E8220CAB50>, <Card.Card object at 0x000001E8220E74F0>]","[<Card.Card object at 0x000001E8220D9550>, <Card.Card object at 0x000001E8220E60A0>]",16,False,False,0,
297,AD,1,18,False,False,"[<Card.Card object at 0x000001E8220E7B50>, <Card.Card object at 0x000001E8220ADA30>, <Card.Card object at 0x000001E8220D95B0>, <Card.Card object at 0x000001E8220E0B80>]","[<Card.Card object at 0x000001E8220DD970>, <Card.Card object at 0x000001E8220EAF70>, <Card.Card object at 0x000001E8220E9940>, <Card.Card object at 0x000001E8220EC1C0>]",20,False,False,1,
298,2D,2,19,False,False,"[<Card.Card object at 0x000001E8220E9A30>, <Card.Card object at 0x000001E8220E7FD0>, <Card.Card object at 0x000001E8220D2BB0>, <Card.Card object at 0x000001E8220E7C10>]","[<Card.Card object at 0x000001E8220E72B0>, <Card.Card object at 0x000001E8220EAEE0>]",13,False,False,0,
299,2H,2,23,True,False,"[<Card.Card object at 0x000001E8220EA430>, <Card.Card object at 0x000001E8220EC850>, <Card.Card object at 0x000001E8220CB3D0>, <Card.Card object at 0x000001E8220D6AC0>]","[<Card.Card object at 0x000001E8220E9310>, <Card.Card object at 0x000001E8220EA580>, <Card.Card object at 0x000001E8220E9490>]",18,False,False,0,
300,JC,10,18,False,False,"[<Card.Card object at 0x000001E8220E9760>, <Card.Card object at 0x000001E8220E6C40>]","[<Card.Card object at 0x000001E8220EC910>, <Card.Card object at 0x000001E8220E6E80>]",20,False,False,1,
301,TH,10,21,False,True,"[<Card.Card object at 0x000001E8220CA490>, <Card.Card object at 0x000001E8220ECC10>]","[<Card.Card object at 0x000001E8220CBF10>, <Card.Card object at 0x000001E8220E7580>]",17,False,False,0,
302,3D,3,21,False,False,"[<Card.Card object at 0x000001E8220ECBB0>, <Card.Card object at 0x000001E8220ECAF0>, <Card.Card object at 0x000001E8220E0F40>, <Card.Card object at 0x000001E8220EA7C0>, <Card.Card object at 0x000001E8220D2CA0>]","[<Card.Card object at 0x000001E822087100>, <Card.Card object at 0x000001E8220EC070>, <Card.Card object at 0x000001E8220E63D0>]",19,False,False,0,
303,9C,9,17,False,False,"[<Card.Card object at 0x000001E82206FD90>, <Card.Card object at 0x000001E8220D6550>]","[<Card.Card object at 0x000001E8220ECAC0>, <Card.Card object at 0x000001E8220B32E0>, <Card.Card object at 0x000001E8220A8940>]",15,False,False,0,
304,AD,1,21,False,True,"[<Card.Card object at 0x000001E8220E7BE0>, <Card.Card object at 0x000001E82206F430>]","[<Card.Card object at 0x000001E82206F8E0>, <Card.Card object at 0x000001E8220BA160>]",15,False,False,0,
305,7C,7,22,True,False,"[<Card.Card object at 0x000001E8220E9100>, <Card.Card object at 0x000001E82206F580>, <Card.Card object at 0x000001E8220E6340>, <Card.Card object at 0x000001E8220EAA60>]","[<Card.Card object at 0x000001E8220E6D90>, <Card.Card object at 0x000001E8220E77F0>, <Card.Card object at 0x000001E8220D4CA0>]",19,False,False,0,
306,TD,10,21,False,True,"[<Card.Card object at 0x000001E8220EC940>, <Card.Card object at 0x000001E82206F9A0>]","[<Card.Card object at 0x000001E8220D2D30>, <Card.Card object at 0x000001E8220CAC10>, <Card.Card object at 0x000001E8220EA760>]",16,False,False,0,
307,8S,8,19,False,False,"[<Card.Card object at 0x000001E8220E6850>, <Card.Card object at 0x000001E8220EA040>]","[<Card.Card object at 0x000001E8220CB940>, <Card.Card object at 0x000001E8220E01F0>]",16,False,False,0,
308,QD,10,26,True,False,"[<Card.Card object at 0x000001E822082B20>, <Card.Card object at 0x000001E822090190>, <Card.Card object at 0x000001E8220E0370>]","[<Card.Card object at 0x000001E8220E94C0>, <Card.Card object at 0x000001E8220AD1F0>]",20,False,False,0,
309,KH,10,20,False,False,"[<Card.Card object at 0x000001E8220267F0>, <Card.Card object at 0x000001E82206F790>, <Card.Card object at 0x000001E82206FF70>]","[<Card.Card object at 0x000001E8220EAC40>, <Card.Card object at 0x000001E8220C7520>]",16,False,False,0,
310,5D,5,21,False,False,"[<Card.Card object at 0x000001E8220E0DF0>, <Card.Card object at 0x000001E8220CBDF0>, <Card.Card object at 0x000001E8220E0730>]","[<Card.Card object at 0x000001E8220D2C70>, <Card.Card object at 0x000001E8220ED2B0>]",15,False,False,0,
311,QS,10,17,False,False,"[<Card.Card object at 0x000001E8220D9CA0>, <Card.Card object at 0x000001E8220E7730>]","[<Card.Card object at 0x000001E8220EC430>, <Card.Card object at 0x000001E8220EA7F0>, <Card.Card object at 0x000001E8220ED0D0>]",20,False,False,1,
312,8H,8,25,True,False,"[<Card.Card object at 0x000001E8220ECB20>, <Card.Card object at 0x000001E8220D49A0>, <Card.Card object at 0x000001E8220EA490>, <Card.Card object at 0x000001E8220ECFD0>, <Card.Card object at 0x000001E8220EB400>]","[<Card.Card object at 0x000001E8220E6460>, <Card.Card object at 0x000001E8220E9280>]",16,False,False,0,
313,9H,9,22,True,False,"[<Card.Card object at 0x000001E8220C7FA0>, <Card.Card object at 0x000001E8220D6340>, <Card.Card object at 0x000001E8220ED760>]","[<Card.Card object at 0x000001E8220D65B0>, <Card.Card object at 0x000001E8220D6880>]",19,False,False,0,
314,AS,1,19,False,False,"[<Card.Card object at 0x000001E82206F4F0>, <Card.Card object at 0x000001E8220EDD30>, <Card.Card object at 0x000001E8220D4BE0>, <Card.Card object at 0x000001E8220D2F40>]","[<Card.Card object at 0x000001E8220ECDF0>, <Card.Card object at 0x000001E8220EC580>]",17,False,False,0,
315,QC,10,24,True,False,"[<Card.Card object at 0x000001E8220EDFD0>, <Card.Card object at 0x000001E8220D99D0>, <Card.Card object at 0x000001E8220D2E50>]","[<Card.Card object at 0x000001E8220ED460>, <Card.Card object at 0x000001E8220E9C40>]",12,False,False,0,
316,6D,6,24,True,False,"[<Card.Card object at 0x000001E8220EA790>, <Card.Card object at 0x000001E8220EAFA0>, <Card.Card object at 0x000001E8220ED7F0>]","[<Card.Card object at 0x000001E8220D9DF0>, <Card.Card object at 0x000001E8220EA880>]",16,False,False,0,
317,6C,6,20,False,False,"[<Card.Card object at 0x000001E8220E7F40>, <Card.Card object at 0x000001E8220E7430>, <Card.Card object at 0x000001E8220ECEB0>]","[<Card.Card object at 0x000001E8220EC1F0>, <Card.Card object at 0x000001E8220D6AF0>, <Card.Card object at 0x000001E8220CA1F0>, <Card.Card object at 0x000001E8220C6430>]",16,False,False,0,
318,7S,7,17,False,False,"[<Card.Card object at 0x000001E8220ED670>, <Card.Card object at 0x000001E8220D2640>]","[<Card.Card object at 0x000001E8220E7760>, <Card.Card object at 0x000001E8220EB0A0>, <Card.Card object at 0x000001E8220E6040>, <Card.Card object at 0x000001E8220EDC10>]",14,False,False,0,
319,6S,6,22,True,False,"[<Card.Card object at 0x000001E8220BA820>, <Card.Card object at 0x000001E8220ECCD0>, <Card.Card object at 0x000001E8220EA160>]","[<Card.Card object at 0x000001E82200C8B0>, <Card.Card object at 0x000001E8220EDA00>]",14,False,False,0,
320,AS,1,21,False,True,"[<Card.Card object at 0x000001E8220E6070>, <Card.Card object at 0x000001E8220EBD60>]","[<Card.Card object at 0x000001E8220ED3A0>, <Card.Card object at 0x000001E8220C2AC0>]",15,False,False,0,
321,TD,10,20,False,False,"[<Card.Card object at 0x000001E8220EE040>, <Card.Card object at 0x000001E82206F940>]","[<Card.Card object at 0x000001E82201FA60>, <Card.Card object at 0x000001E8220D27C0>]",17,False,False,0,
322,8C,8,18,False,False,"[<Card.Card object at 0x000001E8220E6BE0>, <Card.Card object at 0x000001E8220E7BB0>]","[<Card.Card object at 0x000001E8220EA310>, <Card.Card object at 0x000001E8220E6B20>, <Card.Card object at 0x000001E8220EDF70>, <Card.Card object at 0x000001E8220E0D00>]",15,False,False,0,
323,7S,7,17,False,False,"[<Card.Card object at 0x000001E8220EB9A0>, <Card.Card object at 0x000001E82206F1C0>]","[<Card.Card object at 0x000001E8220EE940>, <Card.Card object at 0x000001E8220DDDF0>]",21,False,True,1,
324,TC,10,18,False,False,"[<Card.Card object at 0x000001E8220EC190>, <Card.Card object at 0x000001E8220EE550>]","[<Card.Card object at 0x000001E8220CB220>, <Card.Card object at 0x000001E8220EA400>]",19,False,False,1,
